시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
금천구,2018,2,154043,96963,57080,1491,33024,46897,37778,22250,12603,683,16296,30777,26492,14053,8662,808,16728,16120,11286,8197,3941
금천구,2018,3,154043,96963,57080,1491,33024,46897,37778,22250,12603,683,16296,30777,26492,14053,8662,808,16728,16120,11286,8197,3941
금천구,2018,4,154043,96963,57080,1491,33024,46897,37778,22250,12603,683,16296,30777,26492,14053,8662,808,16728,16120,11286,8197,3941
금천구,2019,1,125980,77507,48473,610,26395,36767,30621,19092,12495,311,12542,23881,20532,11615,8626,299,13853,12886,10089,7477,3869
금천구,2019,2,97611,61487,36124,936,20386,27060,21944,14157,13128,472,10345,17365,15039,8768,9498,464,10041,9695,6905,5389,3630
금천구,2019,3,97611,61487,36124,936,20386,27060,21944,14157,13128,472,10345,17365,15039,8768,9498,464,10041,9695,6905,5389,3630
금천구,2019,4,83875,53760,30115,282,14907,23419,19342,13037,12888,177,7708,15223,13258,8160,9234,105,7199,8196,6084,4877,3654
노원구,2015,1,6814,3363,3451,41,964,1364,1779,1607,1059,16,300,726,855,715,751,25,664,638,924,892,308
노원구,2015,2,6906,3399,3507,28,914,1300,1760,1693,1211,13,264,719,856,712,835,15,650,581,904,981,376
노원구,2015,3,6906,3399,3507,28,914,1300,1760,1693,1211,13,264,719,856,712,835,15,650,581,904,981,376
노원구,2015,4,7291,3525,3766,54,1066,1384,1835,1772,1180,30,334,776,874,720,791,24,732,608,961,1052,389
노원구,2016,1,7291,3525,3766,54,1066,1384,1835,1772,1180,30,334,776,874,720,791,24,732,608,961,1052,389
노원구,2016,2,7281,3419,3862,28,1025,1312,1799,1833,1284,12,355,720,867,742,723,16,670,592,932,1091,561
노원구,2016,3,7281,3419,3862,28,1025,1312,1799,1833,1284,12,355,720,867,742,723,16,670,592,932,1091,561
노원구,2016,4,7027,3340,3687,55,1035,1271,1713,1758,1195,20,344,700,813,744,719,35,691,571,900,1014,476
노원구,2017,1,7027,3340,3687,55,1035,1271,1713,1758,1195,20,344,700,813,744,719,35,691,571,900,1014,476
노원구,2017,2,6887,3191,3696,31,1019,1214,1677,1724,1222,20,327,653,772,715,704,11,692,561,905,1009,518
