,시군구명,기준년코드,기준분기코드,점포수
487,중랑구,2016,4,302
488,중랑구,2017,1,299
489,중랑구,2017,2,299
490,중랑구,2017,3,300
491,중랑구,2017,4,299
492,중랑구,2018,1,292
493,중랑구,2018,2,291
494,중랑구,2018,3,293
495,중랑구,2018,4,288
496,중랑구,2019,1,291
497,중랑구,2019,2,280
498,중랑구,2019,3,280
499,중랑구,2019,4,277
