s,기준년코드,기준분기코드,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
동작구,2015,4,5339118,5547038,562361,2202247,2324657,2284464,2186335,1326073,1745448,1747893,1693220,1686304,1698422,1369849,945035
동작구,2016,1,4422776,4665423,353812,1824454,1950901,1903065,1837710,1218286,1425075,1364512,1424606,1481620,1496910,1123150,772354
동작구,2016,2,4766256,5179097,466748,2031952,2091471,2040972,1950355,1363869,1544051,1452800,1568173,1671838,1612051,1235279,861198
동작구,2016,3,4374874,4836143,428152,1843638,1955070,1907872,1796467,1279808,1481829,1487981,1434118,1428037,1497141,1102948,778994
동작구,2016,4,4006105,4532104,450092,1715418,1787309,1767182,1665015,1153192,1316548,1335029,1337686,1330801,1416385,1081651,720093
동작구,2017,1,7498411,7060817,1004174,5113308,2928192,2050437,1933011,1530153,1972362,2008091,2212023,2219070,2148453,2126103,1873140
동작구,2017,2,6912678,6425099,957847,4640359,2609912,1865950,1764190,1499533,1889944,1918796,1951999,1928534,1975499,1916234,1756819
동작구,2017,3,8176366,7830901,1093775,5467316,3080865,2245889,2162974,1956454,2284489,2302304,2313376,2337064,2387725,2274970,2107391
동작구,2017,4,7735973,7280469,946314,5146430,2870434,2126523,2088675,1838089,2115628,2184053,2110802,2142672,2261484,2250662,1951129
동작구,2018,1,7931565,7459479,1094410,5295725,2859380,2114001,2126407,1901106,2197385,2250170,2279129,2157900,2251907,2209654,2044898
동작구,2018,2,8629858,8237943,1161992,5809279,3140853,2295390,2285933,2174403,2407679,2409950,2424427,2460899,2555390,2452695,2156734
동작구,2018,3,8504306,8144186,1014538,5687910,3114057,2308734,2297708,2225526,2335899,2383862,2390931,2427065,2512331,2416157,2182278
동작구,2018,4,8656545,8154197,979061,5799993,3086507,2268249,2371887,2305073,2414152,2403559,2409113,2395984,2500647,2477891,2209430
동작구,2019,1,18477309,20681956,5170094,7991316,6347275,5207869,5148206,9294501,5536200,5522625,5543313,5557850,5564776,5730665,5703849
동작구,2019,2,17875630,20244751,5182738,7933380,6228606,5102258,4907285,8766098,5413247,5408741,5433476,5435748,5415833,5511413,5501923
