기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2015,3,D,발달상권,1001086,고속터미널역,CS100010,커피-음료,26,40,5,2,5,2,14
2015,3,A,골목상권,1000756,사당로8길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000879,청두곶길,CS100010,커피-음료,6,6,0,0,0,0,0
2015,3,D,발달상권,1001211,동대문시장_1,CS100010,커피-음료,11,14,7,1,0,0,3
2015,3,D,발달상권,1001082,선릉역_2,CS100010,커피-음료,32,54,4,2,7,4,22
2015,3,A,골목상권,1000642,디지털로27길,CS100010,커피-음료,4,4,25,1,0,0,0
2015,3,D,발달상권,1001056,서울 송파구 가락시장역,CS100010,커피-음료,5,6,17,1,0,0,1
2015,3,A,골목상권,1000077,한강대로104길,CS100010,커피-음료,6,7,29,2,29,2,1
2015,3,D,발달상권,1001172,어린이대공원역,CS100010,커피-음료,6,9,0,0,0,0,3
2015,3,A,골목상권,1000900,논현로26길,CS100010,커피-음료,13,17,6,1,0,0,4
2015,3,A,골목상권,1000406,연서로29길,CS100010,커피-음료,4,4,25,1,0,0,0
2015,3,D,발달상권,1001159,서울 강동구 천호역,CS100010,커피-음료,4,7,14,1,14,1,3
2015,3,D,발달상권,1001087,서울 강남구 선릉역_2,CS100010,커피-음료,32,56,7,4,5,3,24
2015,3,A,골목상권,1000063,우사단로14길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,3,A,골목상권,1000251,봉화산로4길,CS100010,커피-음료,0,2,0,0,0,0,2
2015,3,D,발달상권,1001206,서대문구 서대문역_2,CS100010,커피-음료,8,16,6,1,13,2,8
2015,3,A,골목상권,1000043,청구로1길,CS100010,커피-음료,2,2,50,1,0,0,0
2015,3,R,전통시장,1001326,회기시장,CS100010,커피-음료,7,7,0,0,0,0,0
2015,3,A,골목상권,1000018,종로58가길,CS100010,커피-음료,6,7,0,0,0,0,1
2015,3,A,골목상권,1000217,한천로46길,CS100010,커피-음료,3,3,33,1,0,0,0
2015,3,A,골목상권,1000053,녹사평대로40나길,CS100010,커피-음료,6,6,17,1,33,2,0
