기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,4,A,골목상권,1000814,승방길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000031,다산로36길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000408,연서로34길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,D,발달상권,1001182,홍익대학교 주변,CS300002,편의점,12,52,4,2,6,3,40
2015,4,A,골목상권,1000768,신대방길,CS300002,편의점,2,4,0,0,0,0,2
2015,4,D,발달상권,1001213,종각역 젊음의 거리,CS300002,편의점,2,15,0,0,13,2,13
2015,4,D,발달상권,1001134,서울 영등포구 여의도역_2,CS300002,편의점,2,16,6,1,0,0,14
2015,4,A,골목상권,1000835,청림3길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000808,법원단지9길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000060,소월로20길,CS300002,편의점,4,5,0,0,0,0,1
2015,4,D,발달상권,1001223,서울 종로구 광화문역_2,CS300002,편의점,4,19,11,2,11,2,15
2015,4,D,발달상권,1001109,강남구 논현역_4,CS300002,편의점,6,17,6,1,6,1,11
2015,4,A,골목상권,1000422,증산로13길,CS300002,편의점,2,3,0,0,0,0,1
2015,4,A,골목상권,1000900,논현로26길,CS300002,편의점,3,5,0,0,0,0,2
2015,4,A,골목상권,1000329,삼양로24길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,D,발달상권,1001074,대림역_2,CS300002,편의점,2,6,0,0,0,0,4
2015,4,A,골목상권,1000132,광나루로52길,CS300002,편의점,1,4,0,0,0,0,3
2015,4,D,발달상권,1001092,강남구 논현역_1,CS300002,편의점,1,11,9,1,0,0,10
2015,4,A,골목상권,1000901,논현로28길,CS300002,편의점,0,4,0,0,25,1,4
2015,4,D,발달상권,1001063,교대역_4,CS300002,편의점,0,5,0,0,0,0,5
2015,4,D,발달상권,1001192,서울 중구 충무로역_1,CS300002,편의점,0,11,9,1,0,0,11
2015,4,D,발달상권,1001221,장안동사거리,CS300002,편의점,5,15,27,4,0,0,10
2015,4,A,골목상권,1000522,목동로9길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000552,가로공원로76가길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,D,발달상권,1001229,서울 종로구 종로5가역_4,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000857,동산로19길,CS300002,편의점,0,3,33,1,33,1,3
2015,4,A,골목상권,1000897,논현로123길,CS300002,편의점,1,5,0,0,0,0,4
2015,4,R,전통시장,1001298,성동용답상가시장,CS300002,편의점,1,4,0,0,0,0,3
2015,4,A,골목상권,1000502,월드컵로36길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000906,도산대로23길,CS300002,편의점,0,0,0,0,0,0,0
2015,4,D,발달상권,1001048,뱅뱅사거리,CS300002,편의점,3,10,0,0,0,0,7
2015,4,A,골목상권,1000827,장군봉1길,CS300002,편의점,0,2,50,1,0,0,2
2015,4,A,골목상권,1000714,신길로17길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000251,봉화산로4길,CS300002,편의점,2,2,0,0,0,0,0
2015,4,A,골목상권,1000693,대림로29길,CS300002,편의점,1,8,13,1,0,0,7
2015,4,A,골목상권,1000360,도봉로114길,CS300002,편의점,0,7,0,0,0,0,7
2015,4,A,골목상권,1000461,도화4길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000570,곰달래로31길,CS300002,편의점,0,1,100,1,0,0,1
2015,4,A,골목상권,1000612,개봉로1길,CS300002,편의점,1,1,0,0,0,0,0
2015,4,D,발달상권,1001241,혜화역 대학로_2,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000471,마포대로12길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000931,영동대로112길,CS300002,편의점,3,6,0,0,0,0,3
2015,4,A,골목상권,1000104,상원길,CS300002,편의점,2,7,0,0,0,0,5
2015,4,A,골목상권,1000907,도산대로30길,CS300002,편의점,1,4,0,0,0,0,3
2015,4,A,골목상권,1000229,동일로101길,CS300002,편의점,0,3,33,1,0,0,3
2015,4,R,전통시장,1001271,동묘시장,CS300002,편의점,1,3,33,1,0,0,2
2015,4,A,골목상권,1000399,연서로11길,CS300002,편의점,0,2,0,0,50,1,2
2015,4,R,전통시장,1001418,남구로시장,CS300002,편의점,0,1,100,1,0,0,1
2015,4,D,발달상권,1001015,서울 금천구 독산1동_1,CS300002,편의점,0,5,0,0,20,1,5
2015,4,R,전통시장,1001329,동부골목시장,CS300002,편의점,1,4,0,0,0,0,3
2015,4,A,골목상권,1000879,청두곶길,CS300002,편의점,0,3,67,2,0,0,3
2015,4,A,골목상권,1000963,오금로11길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000129,광나루로36길,CS300002,편의점,2,4,0,0,0,0,2
2015,4,D,발달상권,1001103,코엑스,CS300002,편의점,2,5,0,0,0,0,3
2015,4,A,골목상권,1000508,곰달래로10길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1001008,천호옛14길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000377,해등로16길,CS300002,편의점,1,2,0,0,0,0,1
