기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,술집점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2016,2,R,전통시장,1001457,봉천중앙시장,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,R,전통시장,1001396,목4동시장,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000589,방화대로21길,CS100009,호프-간이주점,5,5,0,0,40,2,0
2016,2,A,골목상권,1000525,목동중앙로3길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000811,봉천로13길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000397,수색로18길,CS100009,호프-간이주점,12,12,0,0,0,0,0
2016,2,R,전통시장,1001378,아현가구거리상점가,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000479,방울내로9안길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000576,공항대로55길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000751,사당로23나길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,D,발달상권,1001151,용산 전자상가_3,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,A,골목상권,1000473,마포대로4길,CS100009,호프-간이주점,1,2,0,0,0,0,1
2016,2,A,골목상권,1000006,북촌로11길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000295,장월로1길,CS100009,호프-간이주점,8,13,15,2,0,0,5
2016,2,D,발달상권,1001193,장한평역_1,CS100009,호프-간이주점,12,19,16,3,11,2,7
2016,2,A,골목상권,1000591,양천로14길,CS100009,호프-간이주점,21,22,14,3,5,1,1
2016,2,A,골목상권,1000188,서울시립대로29길,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,A,골목상권,1000385,석계로1길,CS100009,호프-간이주점,11,17,6,1,24,4,6
2016,2,D,발달상권,1001038,구로디지탈1단지,CS100009,호프-간이주점,10,16,0,0,0,0,6
2016,2,U,관광특구,1001494,종로·청계 관광특구,CS100009,호프-간이주점,109,142,6,8,6,8,33
2016,2,D,발달상권,1001105,서울 동작구 노량진역,CS100009,호프-간이주점,20,24,4,1,8,2,4
2016,2,A,골목상권,1000837,행운길,CS100009,호프-간이주점,9,9,22,2,22,2,0
2016,2,A,골목상권,1000508,곰달래로10길,CS100009,호프-간이주점,26,27,15,4,7,2,1
2016,2,D,발달상권,1001136,오목교역,CS100009,호프-간이주점,26,37,8,3,11,4,11
2016,2,A,골목상권,1000632,구로동로8길,CS100009,호프-간이주점,21,21,14,3,5,1,0
2016,2,A,골목상권,1000791,난곡로34길,CS100009,호프-간이주점,4,4,0,0,25,1,0
2016,2,D,발달상권,1001232,서울 종로구 종로3가역_2,CS100009,호프-간이주점,111,115,7,8,4,4,4
2016,2,D,발달상권,1001058,역삼역_1,CS100009,호프-간이주점,10,12,17,2,8,1,2
2016,2,A,골목상권,1000693,대림로29길,CS100009,호프-간이주점,50,51,18,9,4,2,1
2016,2,A,골목상권,1000671,시흥대로120길,CS100009,호프-간이주점,25,29,7,2,7,2,4
2016,2,D,발달상권,1001078,서울 강남구 강남역_2,CS100009,호프-간이주점,58,75,0,0,1,1,17
2016,2,A,골목상권,1000260,중랑천로10길,CS100009,호프-간이주점,16,19,5,1,0,0,3
2016,2,A,골목상권,1000348,한천로130길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000513,남부순환로40길,CS100009,호프-간이주점,8,9,0,0,0,0,1
2016,2,A,골목상권,1000951,백제고분로45길,CS100009,호프-간이주점,11,13,8,1,8,1,2
2016,2,A,골목상권,1000963,오금로11길,CS100009,호프-간이주점,24,27,15,4,7,2,3
2016,2,A,골목상권,1000467,동교로19길,CS100009,호프-간이주점,7,7,14,1,14,1,0
2016,2,A,골목상권,1000994,올림픽로71길,CS100009,호프-간이주점,5,5,20,1,0,0,0
2016,2,A,골목상권,1000734,국사봉2길,CS100009,호프-간이주점,5,7,29,2,29,2,2
2016,2,D,발달상권,1001066,서울 강남구 강남역,CS100009,호프-간이주점,16,20,5,1,10,2,4
2016,2,A,골목상권,1001004,천호대로170길,CS100009,호프-간이주점,21,23,9,2,9,2,2
2016,2,R,전통시장,1001300,화양제일골목시장,CS100009,호프-간이주점,10,13,8,1,0,0,3
2016,2,R,전통시장,1001418,남구로시장,CS100009,호프-간이주점,9,9,0,0,0,0,0
2016,2,A,골목상권,1000638,구로중앙로8길,CS100009,호프-간이주점,13,16,6,1,19,3,3
2016,2,A,골목상권,1000863,방배로35길,CS100009,호프-간이주점,11,12,17,2,8,1,1
2016,2,R,전통시장,1001376,수일시장,CS100009,호프-간이주점,9,9,0,0,0,0,0
2016,2,A,골목상권,1000619,경인로35길,CS100009,호프-간이주점,22,22,9,2,14,3,0
2016,2,A,골목상권,1000797,남부순환로161길,CS100009,호프-간이주점,5,6,0,0,17,1,1
2016,2,D,발달상권,1001139,서울 영등포구 영등포구청역,CS100009,호프-간이주점,51,61,0,0,2,1,10
2016,2,D,발달상권,1001124,서울 영등포구 영등포시장역,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,D,발달상권,1001045,동작구 총신대입구역_1,CS100009,호프-간이주점,62,73,6,4,4,3,11
2016,2,A,골목상권,1000905,도산대로15길,CS100009,호프-간이주점,5,6,0,0,0,0,1
2016,2,D,발달상권,1001243,서울 성북구 안암역,CS100009,호프-간이주점,19,22,9,2,14,3,3
2016,2,D,발달상권,1001018,포이사거리_2,CS100009,호프-간이주점,19,23,13,3,4,1,4
2016,2,R,전통시장,1001343,장위전통시장,CS100009,호프-간이주점,3,3,33,1,0,0,0
2016,2,A,골목상권,1000498,월드컵로11길,CS100009,호프-간이주점,6,7,14,1,0,0,1
2016,2,R,전통시장,1001394,목2동시장,CS100009,호프-간이주점,10,11,9,1,36,4,1
2016,2,A,골목상권,1000684,경인로77길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2016,2,D,발달상권,1001123,학동사거리_1,CS100009,호프-간이주점,13,14,14,2,0,0,1
2016,2,A,골목상권,1000526,목동중앙본로7길,CS100009,호프-간이주점,6,7,0,0,0,0,1
2016,2,D,발달상권,1001134,서울 영등포구 여의도역_2,CS100009,호프-간이주점,16,19,0,0,5,1,3
2016,2,A,골목상권,1000381,동일로242길,CS100009,호프-간이주점,15,16,13,2,6,1,1
2016,2,D,발달상권,1001039,서울 서초구 남부터미널역_2,CS100009,호프-간이주점,15,22,5,1,14,3,7
2016,2,A,골목상권,1000556,강서로18길,CS100009,호프-간이주점,7,10,10,1,20,2,3
2016,2,D,발달상권,1001216,서울 종로구 종로3가역_1,CS100009,호프-간이주점,13,15,13,2,0,0,2
2016,2,A,골목상권,1000327,삼각산로28길,CS100009,호프-간이주점,5,5,0,0,20,1,0
2016,2,D,발달상권,1001187,한양시장,CS100009,호프-간이주점,35,47,13,6,13,6,12
2016,2,D,발달상권,1001140,서울 강남구 압구정역,CS100009,호프-간이주점,15,16,13,2,13,2,1
2016,2,D,발달상권,1001072,신대방삼거리역,CS100009,호프-간이주점,25,27,4,1,4,1,2
2016,2,A,골목상권,1000307,한천로101가길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000701,도림로63길,CS100009,호프-간이주점,8,8,13,1,0,0,0
2016,2,A,골목상권,1000393,갈현로7길,CS100009,호프-간이주점,5,6,0,0,0,0,1
2016,2,A,골목상권,1000978,상암로14길,CS100009,호프-간이주점,8,10,10,1,10,1,2
2016,2,A,골목상권,1000882,효령로34길,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,A,골목상권,1000244,면목로48길,CS100009,호프-간이주점,5,5,0,0,20,1,0
2016,2,A,골목상권,1000164,자양번영로3길,CS100009,호프-간이주점,3,4,0,0,0,0,1
2016,2,A,골목상권,1000493,양화진길,CS100009,호프-간이주점,3,4,25,1,0,0,1
2016,2,A,골목상권,1000401,연서로16길,CS100009,호프-간이주점,10,10,0,0,0,0,0
2016,2,A,골목상권,1000066,원효로41길,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,A,골목상권,1000813,서림7길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,U,관광특구,1001493,동대문패션타운 관광특구,CS100009,호프-간이주점,25,38,5,2,3,1,13
2016,2,A,골목상권,1000904,도곡로37길,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,A,골목상권,1000879,청두곶길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000777,장승배기로27길,CS100009,호프-간이주점,9,10,0,0,0,0,1
2016,2,A,골목상권,1000516,남부순환로79길,CS100009,호프-간이주점,10,10,0,0,20,2,0
2016,2,A,골목상권,1000012,옥인길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000107,성덕정길,CS100009,호프-간이주점,8,9,0,0,0,0,1
2016,2,R,전통시장,1001277,방산종합시장,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,A,골목상권,1000857,동산로19길,CS100009,호프-간이주점,4,4,25,1,25,1,0
2016,2,A,골목상권,1000900,논현로26길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,D,발달상권,1001088,삼성역_1,CS100009,호프-간이주점,18,21,0,0,0,0,3
2016,2,A,골목상권,1000633,구로중앙로19길,CS100009,호프-간이주점,14,15,0,0,7,1,1
2016,2,D,발달상권,1001225,신설동역,CS100009,호프-간이주점,5,5,20,1,20,1,0
2016,2,A,골목상권,1000866,사평대로22길,CS100009,호프-간이주점,10,10,10,1,10,1,0
2016,2,R,전통시장,1001336,우림골목시장,CS100009,호프-간이주점,10,12,0,0,0,0,2
2016,2,A,골목상권,1000354,덕릉로60길,CS100009,호프-간이주점,8,8,13,1,25,2,0
2016,2,A,골목상권,1000858,방배천로4안길,CS100009,호프-간이주점,6,6,0,0,0,0,0
2016,2,D,발달상권,1001247,미아사거리_2,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000263,돌곶이로22길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,A,골목상권,1000601,초록마을로8길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000541,은행정로7길,CS100009,호프-간이주점,12,12,8,1,8,1,0
